%x,y,z,time,dist1,dist2,speed,idiothetic turning angle,three-dimensional angle
0.38600,0.12300,0.06300,0.08919,NaN,NaN,NaN,NaN,-89.35759
0.35900,0.20800,0.06400,0.09856,0.08919,NaN,9.51876,173.97159,-85.34423
0.38400,0.11300,0.07200,0.20000,0.09856,0.01360,0.97161,174.83074,-89.71352
0.32800,0.30500,0.07300,0.00748,0.20000,0.10223,-1.03887,65.78003,-36.69923
0.32400,0.30700,0.07900,0.10611,0.00748,0.20319,0.07587,110.33988,-87.29913
0.34900,0.20400,0.08400,0.10296,0.10611,0.10374,-33.68522,0.16864,-87.21651
0.37300,0.10400,0.08900,0.21763,0.10296,0.20907,0.89789,174.26273,-87.62986
0.31300,0.31300,0.09800,0.00787,0.21763,0.11564,-1.03751,70.81939,-40.35910
0.30800,0.31400,0.10400,0.00812,0.00787,0.22034,31.49603,9.98407,-30.49873
0.30400,0.31500,0.11100,0.00866,0.00812,0.01594,15.04452,5.76818,-36.07077
0.29900,0.31600,0.11800,0.00678,0.00866,0.01676,-4.60652,9.08413,-27.79131
0.29600,0.31700,0.12400,0.00728,0.00678,0.01539,13.56466,7.07638,-34.49624
0.29200,0.31800,0.13000,0.00671,0.00728,0.01404,-12.77212,10.61966,-26.56505
0.28900,0.31800,0.13600,0.00768,0.00671,0.01393,6.91567,8.19918,-24.31126
0.28600,0.31900,0.14300,0.00728,0.00768,0.01435,-19.20286,10.40516,-34.49624
0.28200,0.32000,0.14900,0.00768,0.00728,0.01490,18.20027,10.40516,-24.31126
0.27900,0.32100,0.15600,0.00671,0.00768,0.01490,-7.91871,8.19918,-26.56505
0.27600,0.32100,0.16200,0.00812,0.00671,0.01435,4.75759,7.74937,-30.49873
0.27200,0.32200,0.16900,0.00548,0.00812,0.01480,-3.07729,8.57310,-24.09484
0.27000,0.32300,0.17400,0.00592,0.00548,0.01356,12.44824,9.05365,-32.31153
0.26700,0.32400,0.17900,0.00424,0.00592,0.01136,-3.52148,17.02387,-19.47122
0.26600,0.32500,0.18300,0.00458,0.00424,0.01005,12.47835,12.24367,-29.20593
0.26500,0.32700,0.18700,0.00374,0.00458,0.00877,-5.45545,28.97658,-57.68847
0.26400,0.33000,0.18900,0.00224,0.00374,0.00806,-2.49444,17.02387,-63.43495
0.26400,0.33200,0.19000,0.00490,0.00224,0.00592,0.84063,56.78909,-114.09484
0.26600,0.33600,0.18800,0.00436,0.00490,0.00640,-9.07218,20.51413,-133.49152
0.26700,0.33900,0.18500,0.00812,0.00436,0.00911,1.15928,25.35766,-127.98517
0.27200,0.34300,0.18000,0.00755,0.00812,0.01221,-14.25270,5.99235,-131.47293
0.27600,0.34700,0.17500,NaN,0.00755,0.01565,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.38800,-0.00400,0.32600,0.00648,NaN,0.39818,NaN,NaN,-98.87640
0.38400,-0.00900,0.32500,0.00566,0.00648,NaN,-7.90334,10.89339,-90.00000
0.38000,-0.01300,0.32500,0.00781,0.00566,0.01208,2.63109,5.19443,-90.00000
0.37500,-0.01900,0.32500,0.00583,0.00781,0.01345,-3.94457,8.84181,-90.00000
0.37200,-0.02400,0.32500,0.00671,0.00583,0.01360,6.62608,18.92861,-107.34607
0.36800,-0.02900,0.32300,0.00762,0.00671,0.01237,7.37165,23.07708,-90.00000
0.36500,-0.03600,0.32300,0.00640,0.00762,0.01404,-6.24244,15.46122,-90.00000
0.36100,-0.04100,0.32300,0.00671,0.00640,0.01389,20.65524,12.09476,-90.00000
0.35800,-0.04700,0.32300,0.00640,0.00671,0.01304,-21.63937,12.09476,-90.00000
0.35400,-0.05200,0.32300,0.00748,0.00640,0.01304,5.92882,16.25991,-74.49864
0.35000,-0.05800,0.32500,0.00648,0.00748,0.01375,-7.48331,8.21321,-81.12360
0.34600,-0.06300,0.32600,0.00714,0.00648,0.01393,9.81930,6.32531,-81.95053
0.34100,-0.06800,0.32700,0.00500,0.00714,0.01360,-3.33712,11.42175,-90.00000
0.33800,-0.07200,0.32700,0.00787,0.00500,0.01208,1.74216,15.15964,-82.70372
0.33200,-0.07700,0.32800,0.00500,0.00787,0.01277,-2.74356,7.86175,-90.00000
0.32800,-0.08000,0.32800,0.00574,0.00500,0.01285,6.75676,12.88108,-79.97501
0.32400,-0.08400,0.32900,0.00458,0.00574,0.01068,-4.95221,18.25506,-77.39562
0.32000,-0.08600,0.33000,0.00735,0.00458,0.01020,1.65436,11.49046,-65.90516
0.31400,-0.08900,0.33300,0.00539,0.00735,0.01187,-3.74922,9.75967,-56.14549
0.31000,-0.09100,0.33600,0.00648,0.00539,0.01269,4.94052,13.03917,-51.88707
0.30500,-0.09200,0.34000,0.00728,0.00648,0.01179,8.10093,5.01347,-56.67124
0.29900,-0.09300,0.34400,0.00640,0.00728,0.01375,-8.27285,9.32068,-51.34019
0.29400,-0.09300,0.34800,0.00714,0.00640,0.01364,8.65287,10.23362,-45.56176
0.28900,-0.09400,0.35300,0.00707,0.00714,0.01349,-102.02041,8.04947,-45.00000
0.28400,-0.09400,0.35800,NaN,0.00707,0.01418,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.09200,-0.17100,0.27800,0.00592,NaN,0.22179,NaN,NaN,-120.47036
0.08700,-0.17000,0.27500,0.00787,0.00592,NaN,3.03389,9.07627,-129.42003
0.08100,-0.16900,0.27000,0.00640,0.00787,0.01375,-5.35647,7.38521,-128.65981
0.07600,-0.16900,0.26600,0.00943,0.00640,0.01425,2.11324,6.65443,-122.00538
0.06800,-0.16900,0.26100,0.00728,0.00943,0.01581,-4.38790,8.07177,-123.32876
0.06200,-0.16800,0.25700,0.00787,0.00728,0.01667,12.33917,16.36943,-129.42003
0.05600,-0.16900,0.25200,0.00860,0.00787,0.01500,10.78631,8.44701,-125.53768
0.04900,-0.16900,0.24700,0.00860,0.00860,0.01643,Inf,0.00000,-125.53768
0.04200,-0.16900,0.24200,0.00721,0.00860,0.01720,-6.18872,1.84761,-123.69007
0.03600,-0.16900,0.23800,0.00768,0.00721,0.01581,15.34277,12.86085,-112.98977
0.02900,-0.17000,0.23500,0.00768,0.00768,0.01480,Inf,0.00000,-112.98977
0.02200,-0.17100,0.23200,0.00510,0.00768,0.01536,-2.97719,14.01756,-101.30993
0.01700,-0.17100,0.23100,0.00707,0.00510,0.01269,2.58833,13.89789,-90.00000
0.01000,-0.17200,0.23100,0.00608,0.00707,0.01208,-7.14249,12.45116,-80.53768
0.00400,-0.17200,0.23200,0.00510,0.00608,0.01308,-6.20690,1.84761,-78.69007
-0.00100,-0.17200,0.23300,0.00548,0.00510,0.01118,13.41847,14.81531,-68.58329
-0.00600,-0.17100,0.23500,0.00583,0.00548,0.01049,15.64922,13.91641,-59.03624
-0.01100,-0.17100,0.23800,0.00539,0.00583,0.01122,-13.25216,22.54956,-56.14549
-0.01500,-0.16900,0.24100,0.00510,0.00539,0.01100,-18.56953,10.49148,-53.96011
-0.01900,-0.16800,0.24400,0.00539,0.00510,0.01044,17.58283,33.11134,-42.03111
-0.02100,-0.16500,0.24800,0.00648,0.00539,0.01005,4.94052,13.03917,-39.50971
-0.02200,-0.16100,0.25300,0.00781,0.00648,0.01179,4.87274,8.94945,-39.80557
-0.02200,-0.15600,0.25900,0.00735,0.00781,0.01425,-16.97880,16.60479,-47.12401
-0.02000,-0.15100,0.26400,0.00806,0.00735,0.01500,10.34996,5.21516,-51.67118
-0.01800,-0.14500,0.26900,0.00707,0.00806,0.01539,-8.14369,10.79458,-55.55010
-0.01500,-0.14000,0.27300,0.00806,0.00707,0.01507,7.14249,10.79458,-51.67118
-0.01300,-0.13400,0.27800,0.00616,0.00806,0.01507,-4.24329,9.62148,-60.87843
-0.01100,-0.12900,0.28100,0.00735,0.00616,0.01418,5.18018,6.58678,-65.90516
